epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,7081.13,0.95588,0.51268,0.84683,0.55266,0.44311,0.44836,0.27534,1.14444,0.8366,0.88723,0.003466,0.003466,0.003466
101,7151.8,0.95811,0.5119,0.84708,0.55981,0.43736,0.4476,0.27559,1.14525,0.83678,0.88711,0.0034,0.0034,0.0034
102,7222.29,0.95839,0.51337,0.84571,0.55971,0.43523,0.44935,0.27651,1.14495,0.83853,0.88684,0.003334,0.003334,0.003334
103,7292.82,0.94839,0.50578,0.8443,0.56822,0.4308,0.44944,0.27718,1.14359,0.83968,0.88691,0.003268,0.003268,0.003268
104,7363.67,0.94488,0.50465,0.84425,0.5756,0.42911,0.45019,0.27692,1.14393,0.83805,0.8865,0.003202,0.003202,0.003202
105,7434.17,0.94528,0.50264,0.84504,0.56318,0.4352,0.45022,0.27644,1.14592,0.83899,0.88705,0.003136,0.003136,0.003136
106,7505.07,0.93415,0.49928,0.84462,0.56175,0.43433,0.44978,0.27647,1.14573,0.84137,0.88742,0.00307,0.00307,0.00307
107,7575.51,0.94089,0.50178,0.84492,0.55756,0.43617,0.44895,0.27654,1.14534,0.84167,0.88746,0.003004,0.003004,0.003004
108,7646.73,0.93255,0.49354,0.84281,0.5641,0.43651,0.45023,0.27766,1.14614,0.84196,0.88776,0.002938,0.002938,0.002938
109,7717.65,0.93402,0.49593,0.8429,0.56779,0.43434,0.45036,0.27733,1.14801,0.84232,0.88798,0.002872,0.002872,0.002872
110,7787.96,0.92862,0.49248,0.84221,0.56446,0.43787,0.45147,0.27811,1.1475,0.84221,0.88808,0.002806,0.002806,0.002806
111,7858.33,0.93102,0.49167,0.84315,0.57326,0.43392,0.45062,0.27769,1.14845,0.84205,0.88984,0.00274,0.00274,0.00274
112,7929.13,0.92669,0.48883,0.84007,0.56524,0.4357,0.45121,0.27717,1.14864,0.84369,0.89001,0.002674,0.002674,0.002674
113,7999.55,0.92179,0.48794,0.8408,0.56397,0.43843,0.45182,0.27762,1.14905,0.84377,0.88969,0.002608,0.002608,0.002608
114,8070.08,0.91856,0.48405,0.84011,0.55461,0.44162,0.45098,0.27684,1.14854,0.8469,0.88898,0.002542,0.002542,0.002542
115,8140.8,0.91384,0.47968,0.8403,0.55986,0.43731,0.4506,0.27676,1.14909,0.84664,0.88862,0.002476,0.002476,0.002476
116,8211.35,0.91247,0.47997,0.83838,0.56106,0.43745,0.45015,0.277,1.14982,0.84703,0.88867,0.00241,0.00241,0.00241
117,8281.91,0.9087,0.47751,0.83849,0.56103,0.43683,0.45005,0.27675,1.15065,0.84738,0.88902,0.002344,0.002344,0.002344
118,8352.74,0.90458,0.47521,0.8387,0.55719,0.44203,0.45087,0.27706,1.15126,0.84799,0.88924,0.002278,0.002278,0.002278
119,8423.21,0.90206,0.4748,0.83787,0.56161,0.43444,0.4513,0.27749,1.15249,0.85037,0.88942,0.002212,0.002212,0.002212
120,8493.95,0.90432,0.47477,0.83684,0.56588,0.43265,0.45103,0.27748,1.15305,0.85074,0.8893,0.002146,0.002146,0.002146
121,8564.34,0.90033,0.47083,0.83692,0.55642,0.43857,0.45037,0.27751,1.15241,0.85095,0.88956,0.00208,0.00208,0.00208
122,8634.97,0.90459,0.4745,0.83566,0.55678,0.4361,0.45026,0.27746,1.15292,0.85157,0.89003,0.002014,0.002014,0.002014
123,8705.69,0.89769,0.46951,0.83618,0.56136,0.43525,0.45028,0.27739,1.15422,0.85168,0.89168,0.001948,0.001948,0.001948
124,8776.05,0.89228,0.46513,0.83522,0.56108,0.43698,0.45002,0.27696,1.15437,0.85264,0.8922,0.001882,0.001882,0.001882
125,8846.49,0.8905,0.46573,0.83484,0.55707,0.43853,0.45032,0.27698,1.15463,0.85323,0.89186,0.001816,0.001816,0.001816
126,8917.23,0.88651,0.46184,0.83418,0.56683,0.43295,0.45002,0.27673,1.15465,0.8543,0.89125,0.00175,0.00175,0.00175
127,8987.72,0.88968,0.46361,0.83405,0.5637,0.43594,0.44998,0.27639,1.1548,0.85474,0.89129,0.001684,0.001684,0.001684
128,9058.3,0.88191,0.45922,0.83314,0.56744,0.43411,0.44972,0.27653,1.15476,0.85534,0.89111,0.001618,0.001618,0.001618
129,9128.51,0.88313,0.45992,0.83393,0.5662,0.43636,0.44959,0.27638,1.15554,0.85673,0.89143,0.001552,0.001552,0.001552
130,9198.91,0.87857,0.45741,0.83264,0.56548,0.43684,0.44932,0.27623,1.15627,0.85745,0.89165,0.001486,0.001486,0.001486
131,9269.34,0.87638,0.45527,0.83223,0.56132,0.43779,0.44933,0.276,1.15618,0.85787,0.89188,0.00142,0.00142,0.00142
132,9339.97,0.86887,0.45085,0.83201,0.55415,0.43885,0.4489,0.27585,1.15669,0.85856,0.89209,0.001354,0.001354,0.001354
133,9410.39,0.8736,0.45234,0.83144,0.55364,0.44067,0.44873,0.27575,1.15726,0.8598,0.89234,0.001288,0.001288,0.001288
134,9480.84,0.86504,0.45015,0.83248,0.55201,0.44181,0.44838,0.27573,1.15743,0.86147,0.89254,0.001222,0.001222,0.001222
135,9551.68,0.8563,0.44345,0.83121,0.55903,0.43635,0.44747,0.27528,1.15751,0.86216,0.89276,0.001156,0.001156,0.001156
136,9622.18,0.86143,0.44566,0.8304,0.5544,0.43664,0.44727,0.27533,1.158,0.86267,0.89268,0.00109,0.00109,0.00109
137,9692.53,0.85689,0.44507,0.8303,0.5624,0.43165,0.44722,0.27479,1.15847,0.86253,0.89294,0.001024,0.001024,0.001024
138,9763.22,0.85755,0.4431,0.82847,0.56136,0.43389,0.44673,0.27439,1.15865,0.86209,0.89305,0.000958,0.000958,0.000958
139,9833.74,0.8475,0.43708,0.82804,0.56307,0.43257,0.44623,0.27387,1.15832,0.86292,0.89288,0.000892,0.000892,0.000892
140,9904.47,0.85371,0.44181,0.82888,0.56106,0.43259,0.44577,0.2739,1.15862,0.8637,0.89308,0.000826,0.000826,0.000826
141,9976.52,0.84825,0.43058,0.82865,0.56259,0.43167,0.44618,0.27361,1.15909,0.86399,0.89319,0.00076,0.00076,0.00076
142,10045.4,0.83122,0.41878,0.82557,0.55572,0.43582,0.4462,0.2734,1.15967,0.86451,0.89344,0.000694,0.000694,0.000694
143,10114.7,0.82749,0.4162,0.82639,0.55535,0.43607,0.446,0.27347,1.1597,0.86556,0.89359,0.000628,0.000628,0.000628
144,10183.6,0.82616,0.41392,0.82499,0.55617,0.43629,0.446,0.27311,1.16042,0.86601,0.89372,0.000562,0.000562,0.000562
145,10252.3,0.81843,0.40999,0.82365,0.55263,0.43854,0.44547,0.27273,1.16075,0.86655,0.89402,0.000496,0.000496,0.000496
146,10321.6,0.81782,0.40991,0.82404,0.55416,0.43665,0.44491,0.27264,1.16107,0.86781,0.89413,0.00043,0.00043,0.00043
147,10390.7,0.81582,0.40808,0.82387,0.55416,0.43655,0.44444,0.27214,1.16151,0.86894,0.89446,0.000364,0.000364,0.000364
148,10459.9,0.80975,0.40609,0.82186,0.55413,0.43647,0.44413,0.27201,1.16193,0.86952,0.89463,0.000298,0.000298,0.000298
149,10528.8,0.81478,0.40852,0.82421,0.55487,0.43601,0.44397,0.27184,1.16239,0.87029,0.89473,0.000232,0.000232,0.000232
150,10597.7,0.80831,0.40403,0.82271,0.55582,0.43555,0.44394,0.27179,1.16291,0.87127,0.89484,0.000166,0.000166,0.000166
